-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
------------+-----------------------------------
      G0001 |    278,975        6.43        6.43
      97110 |    145,865        3.36        9.79
      85025 |    142,521        3.28       13.07
      85610 |    124,040        2.86       15.93
      77413 |    117,346        2.70       18.64
      71020 |     79,257        1.83       20.46
      80053 |     72,907        1.68       22.14
      77414 |     70,264        1.62       23.76
      80048 |     63,372        1.46       25.22
      93005 |     59,339        1.37       26.59
      80061 |     58,804        1.36       27.94
      82565 |     51,053        1.18       29.12
      99213 |     50,119        1.15       30.28
      88305 |     49,661        1.14       31.42
      97530 |     45,029        1.04       32.46
      77336 |     44,370        1.02       33.48
      84520 |     43,681        1.01       34.49
      97140 |     42,511        0.98       35.47
      77417 |     42,119        0.97       36.44
      99212 |     41,464        0.96       37.39
      84443 |     40,040        0.92       38.32
      97035 |     37,160        0.86       39.17
      85730 |     32,272        0.74       39.92
      85027 |     31,702        0.73       40.65
      97116 |     31,271        0.72       41.37
      84153 |     31,001        0.71       42.08
      82947 |     30,863        0.71       42.79
      99283 |     29,441        0.68       43.47
      83036 |     29,239        0.67       44.14
      84450 |     28,807        0.66       44.81
      82962 |     28,733        0.66       45.47
      84460 |     26,711        0.62       46.09
      99201 |     26,210        0.60       46.69
      93798 |     25,780        0.59       47.28
      97112 |     24,633        0.57       47.85
      80076 |     24,602        0.57       48.42
      76092 |     23,775        0.55       48.97
      81001 |     22,986        0.53       49.50
      84132 |     22,964        0.53       50.02
      82550 |     22,908        0.53       50.55
      80051 |     22,759        0.52       51.08
      99211 |     21,430        0.49       51.57
      83615 |     21,370        0.49       52.06
      99282 |     20,575        0.47       52.54
      97014 |     19,847        0.46       52.99
      Q0081 |     18,894        0.44       53.43
      77334 |     18,793        0.43       53.86
      G0008 |     18,664        0.43       54.29
      99214 |     18,581        0.43       54.72
      87086 |     18,489        0.43       55.15
      71010 |     17,697        0.41       55.56
      71260 |     17,460        0.40       55.96
      80049 |     17,414        0.40       56.36
      84075 |     17,065        0.39       56.75
      77300 |     17,063        0.39       57.15
      90999 |     16,963        0.39       57.54
      80054 |     16,819        0.39       57.92
      78306 |     16,772        0.39       58.31
      97001 |     16,626        0.38       58.69
      85024 |     16,518        0.38       59.07
      84550 |     15,632        0.36       59.43
      81003 |     15,544        0.36       59.79
      77416 |     15,403        0.35       60.15
      85023 |     15,377        0.35       60.50
      82310 |     15,239        0.35       60.85
      99284 |     14,791        0.34       61.19
      74160 |     14,555        0.34       61.53
      84295 |     14,528        0.33       61.86
      84484 |     14,108        0.33       62.19
      85651 |     13,942        0.32       62.51
      84100 |     13,875        0.32       62.83
      72193 |     13,571        0.31       63.14
      82465 |     13,429        0.31       63.45
      84155 |     13,371        0.31       63.76
      97124 |     13,156        0.30       64.06
      97535 |     12,829        0.30       64.36
      82040 |     12,799        0.29       64.65
      83735 |     12,613        0.29       64.94
      82247 |     12,499        0.29       65.23
      94760 |     12,339        0.28       65.52
      77290 |     12,216        0.28       65.80
      82435 |     11,847        0.27       66.07
      81000 |     11,641        0.27       66.34
      76091 |     10,468        0.24       66.58
      87070 |     10,319        0.24       66.82
      82553 |     10,165        0.23       67.05
      A4641 |     10,109        0.23       67.29
      82374 |      9,944        0.23       67.51
      76090 |      9,760        0.22       67.74
      66984 |      9,684        0.22       67.96
      93017 |      9,628        0.22       68.18
      90853 |      9,625        0.22       68.41
      82150 |      9,398        0.22       68.62
      80162 |      9,207        0.21       68.84
      90658 |      9,067        0.21       69.04
      84478 |      8,913        0.21       69.25
      Q0084 |      8,792        0.20       69.45
      84436 |      8,646        0.20       69.65
